STRING_id	Genes	Protein_Group	P_value	treatment_estimate	control_estimate	log2FC	p.adj	Group	ppi_score
9606.ENSP00000353508	MAP2	P11137	8.72812222123297e-10	8266.06062833333	556.53392545	3.89006844581365	1.38813443602353e-08	UP	247
9606.ENSP00000474096	TAF15	Q92804	5.91543931555912e-06	2728387.08333333	234503.1745	3.54036282770274	1.17824524906256e-05	UP	248
9606.ENSP00000248437	TUBA4A	P68366	0.00333165418933845	10890.3869641667	3481.37270066667	1.64491269703575	0.00409243580616603	UP	250
9606.ENSP00000222572	PON2	Q15165	0.00132962226758467	3878.28633616667	678.7432455	2.51235750679852	0.0017061238265194	UP	257
9606.ENSP00000343158	EPB41L3	Q9Y2J2	4.8744857433501e-05	3517.04431166667	0	11.7801477964291	7.83609294005677e-05	UP	258
9606.ENSP00000378917	ATXN2L	Q8WWM7	5.53815571339731e-07	313178.677116667	20496.0180666667	3.93350004463592	1.73242613753006e-06	UP	258
9606.ENSP00000299736	CENPV	Q7Z7K6	4.92487690907579e-09	11543.1676433333	491.820475333333	4.54983317108802	4.58158401864903e-08	UP	259
9606.ENSP00000337168	EPB41L1	Q9H4G0	4.88779797679271e-07	10505.3736983333	1240.0690511	3.08147219057173	1.58078783237171e-06	UP	264
9606.ENSP00000349437	IGF2R	P11717	5.13748443422558e-07	14992	1318.89125566667	3.50570188051415	1.63627535938365e-06	UP	269
9606.ENSP00000368678	AGRN	O00468	4.12527363785347e-06	2405.67232266667	350.53737895	2.77469014173076	8.55061632800166e-06	UP	269
9606.ENSP00000377793	PRC1	O43663	1.35239934705444e-07	83336.734375	5713.56486016667	3.86623701520622	5.8437693097448e-07	UP	270
9606.ENSP00000342793	PLD1	Q13393	1.76579284920457e-05	1419.16286216667	36.2541275	5.25149607630195	3.09772755520469e-05	UP	280
9606.ENSP00000326804	CUL1	Q13616	1.32990574345525e-06	3626.78727216667	130.1078593	4.78986605100676	3.37328938776982e-06	UP	283
9606.ENSP00000352208	MYOF	Q9NZM1	0.00169576913995559	3297.033203	1220.99877933333	1.43192557180624	0.00215323877546348	UP	285
9606.ENSP00000360183	STX16	O14662	0.000645909890369785	1163.22804766667	0	10.1839182456053	0.00086495045861119	UP	287
9606.ENSP00000341489	SYDE1	Q6ZW31	4.92290563776178e-07	8789.464681	2154.28588881667	2.02789605234517	1.58727324487671e-06	UP	291
9606.ENSP00000444688	ATP1A3	P13637	4.95317907384226e-05	11902.647625	3284.20635983333	1.85722662110482	7.95274386322999e-05	UP	295
9606.ENSP00000470142	UPF1	Q92900	8.30885628117182e-08	89930.1979166667	5204.71024566667	4.11063872632552	4.00623664898574e-07	UP	299
9606.ENSP00000360922	STAU1	O95793	5.24502306449238e-12	14695.1840833333	1016.50687665	3.85223298157518	1.03687549706184e-09	UP	305
9606.ENSP00000370695	EXOC1	Q9NV70	1.00989068512315e-08	7887.06502266667	497.5633443	3.98363981554191	7.8483642187826e-08	UP	311
9606.ENSP00000407509	PNPLA6	Q8IY17	2.44427765755748e-08	9590.01643883333	2414.01277666667	1.98950246657309	1.53702787889748e-07	UP	313
9606.ENSP00000216225	RBX1	P62877	0.000102188205684872	2683.897461	0	11.3901138387141	0.000154061627541111	UP	332
9606.ENSP00000263780	CHMP2B	Q9UQN3	0.00405572990347377	3705.30430106667	553.454671183333	2.74045060546207	0.00495108980497396	UP	337
9606.ENSP00000249647	SNAP23	O00161	0.000576989524656413	5145.537679	1917.56062855	1.42329748195031	0.000779256134281911	UP	349
9606.ENSP00000478557	ZNF787	Q6DD87	1.07817207823588e-06	8649.099039	103.692270916667	6.36832301572362	2.86335708099084e-06	UP	361
9606.ENSP00000354346	MATR3	P43243	1.93031352843476e-10	70474.8320316667	6872.52644933333	3.35798576834009	5.76530542342472e-09	UP	382
9606.ENSP00000345656	VAPA	Q9P0L0	8.16436665421009e-06	225854.098983333	20708.13916	3.44705160741692	1.55659383527827e-05	UP	390
9606.ENSP00000290401	NPTN	Q9Y639	0.00118877264966691	2581.2631835	461.164739016667	2.48159814663729	0.00153661131626335	UP	393
9606.ENSP00000418915	CDKN2A	Q8N726	6.30274601162435e-06	46761.7740883333	3639.0545655	3.68329768298475	1.24209256291388e-05	UP	395
9606.ENSP00000425587	EXOC3	O60645	6.23574206794942e-06	11273.0797533333	2692.64373776667	2.06525074978627	1.23042122026975e-05	UP	400
9606.ENSP00000417175	VAPB	O95292	9.46518607084889e-07	41995.1809916667	5287.72338883333	2.98923235949504	2.58675526101522e-06	UP	405
9606.ENSP00000413156	RAB34	P0DI83	9.52318294079365e-08	7907.27148433333	2573.63055416667	1.61881453021709	4.44274743978323e-07	UP	410
9606.ENSP00000370083	SMN1	Q16637	7.92078428325977e-06	63474.97526	2250.65273016667	4.81713168309209	1.51563464536907e-05	UP	419
9606.ENSP00000224140	SETX	Q7Z333	4.73830035409614e-06	3291.06502266667	0	11.6843388152119	9.66918969032652e-06	UP	423
9606.ENSP00000254108	FUS	P35637	2.04161137870012e-07	556138.067716667	35561.9951166667	3.96699435494627	8.07202098853559e-07	UP	457
9606.ENSP00000484855	EXOC5	O00471	5.82915737861163e-06	4310.71004233333	83.466863	5.6733962413994	1.1654630081257e-05	UP	459
9606.ENSP00000240185	TARDBP	Q13148	5.97853948963758e-07	236400.648466667	2720.56260166667	6.44065496126185	1.84309165747794e-06	UP	480
9606.ENSP00000256398	ELP3	Q9H9T3	0.00380061245665667	900.546752866667	0	9.8146573669368	0.0046558238576317	UP	504
9606.ENSP00000380793	ALG3	Q92685	2.12045459807251e-05	9078.86889683333	106.379353833333	6.40172403501877	3.66102505114811e-05	UP	522
9606.ENSP00000253925	PPFIA1	Q13136	5.02174576682902e-08	7858.67488616667	2419.90683983333	1.69873850536494	2.71517638640687e-07	UP	542
9606.ENSP00000444596	MYCBP2	O75592	0.000283340224818766	12467.5592433333	3645.38228366667	1.77364133305658	0.000400270268468851	UP	672
9606.ENSP00000366843	ATXN2	Q99700	2.01610200213599e-06	28520.6230466667	1346.02332558333	4.40415876008864	4.72011200565352e-06	UP	702
9606.ENSP00000468263	ERC1	Q8IUD2	2.27525607990595e-06	28360.63086	1362.30920391667	4.37870491124872	5.17743523794426e-06	UP	821
