Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	H_1975_1 Spectral Count	H_1975_2 Spectral Count	H_1975_3 Spectral Count	NCI_3784Mel_1 Spectral Count	NCI_3784Mel_2 Spectral Count	NCI_3784Mel_3 Spectral Count	NCI_3784Mel_4 Spectral Count	NCI_3784Mel_5 Spectral Count	NCI_3795Mel_1 Spectral Count	NCI_3795Mel_2 Spectral Count	NCI_3795Mel_3 Spectral Count	NCI_3795Mel_4 Spectral Count	NCI_3795Mel_5 Spectral Count	NCI_RA007_1 Spectral Count	NCI_RA007_2 Spectral Count	NCI_RA007_3 Spectral Count	NCI_RA007_4 Spectral Count	NCI_RA007_5 Spectral Count	PC9_epitope_1 Spectral Count	PC9_epitope_2 Spectral Count	PC9_epitope_4 Spectral Count	PC9_epitope_5 Spectral Count	H_1975_1 Unique Spectral Count	H_1975_2 Unique Spectral Count	H_1975_3 Unique Spectral Count	NCI_3784Mel_1 Unique Spectral Count	NCI_3784Mel_2 Unique Spectral Count	NCI_3784Mel_3 Unique Spectral Count	NCI_3784Mel_4 Unique Spectral Count	NCI_3784Mel_5 Unique Spectral Count	NCI_3795Mel_1 Unique Spectral Count	NCI_3795Mel_2 Unique Spectral Count	NCI_3795Mel_3 Unique Spectral Count	NCI_3795Mel_4 Unique Spectral Count	NCI_3795Mel_5 Unique Spectral Count	NCI_RA007_1 Unique Spectral Count	NCI_RA007_2 Unique Spectral Count	NCI_RA007_3 Unique Spectral Count	NCI_RA007_4 Unique Spectral Count	NCI_RA007_5 Unique Spectral Count	PC9_epitope_1 Unique Spectral Count	PC9_epitope_2 Unique Spectral Count	PC9_epitope_4 Unique Spectral Count	PC9_epitope_5 Unique Spectral Count	H_1975_1 Total Spectral Count	H_1975_2 Total Spectral Count	H_1975_3 Total Spectral Count	NCI_3784Mel_1 Total Spectral Count	NCI_3784Mel_2 Total Spectral Count	NCI_3784Mel_3 Total Spectral Count	NCI_3784Mel_4 Total Spectral Count	NCI_3784Mel_5 Total Spectral Count	NCI_3795Mel_1 Total Spectral Count	NCI_3795Mel_2 Total Spectral Count	NCI_3795Mel_3 Total Spectral Count	NCI_3795Mel_4 Total Spectral Count	NCI_3795Mel_5 Total Spectral Count	NCI_RA007_1 Total Spectral Count	NCI_RA007_2 Total Spectral Count	NCI_RA007_3 Total Spectral Count	NCI_RA007_4 Total Spectral Count	NCI_RA007_5 Total Spectral Count	PC9_epitope_1 Total Spectral Count	PC9_epitope_2 Total Spectral Count	PC9_epitope_4 Total Spectral Count	PC9_epitope_5 Total Spectral Count	H_1975_1 Intensity	H_1975_2 Intensity	H_1975_3 Intensity	NCI_3784Mel_1 Intensity	NCI_3784Mel_2 Intensity	NCI_3784Mel_3 Intensity	NCI_3784Mel_4 Intensity	NCI_3784Mel_5 Intensity	NCI_3795Mel_1 Intensity	NCI_3795Mel_2 Intensity	NCI_3795Mel_3 Intensity	NCI_3795Mel_4 Intensity	NCI_3795Mel_5 Intensity	NCI_RA007_1 Intensity	NCI_RA007_2 Intensity	NCI_RA007_3 Intensity	NCI_RA007_4 Intensity	NCI_RA007_5 Intensity	PC9_epitope_1 Intensity	PC9_epitope_2 Intensity	PC9_epitope_4 Intensity	PC9_epitope_5 Intensity	H_1975_1 MaxLFQ Intensity	H_1975_2 MaxLFQ Intensity	H_1975_3 MaxLFQ Intensity	NCI_3784Mel_1 MaxLFQ Intensity	NCI_3784Mel_2 MaxLFQ Intensity	NCI_3784Mel_3 MaxLFQ Intensity	NCI_3784Mel_4 MaxLFQ Intensity	NCI_3784Mel_5 MaxLFQ Intensity	NCI_3795Mel_1 MaxLFQ Intensity	NCI_3795Mel_2 MaxLFQ Intensity	NCI_3795Mel_3 MaxLFQ Intensity	NCI_3795Mel_4 MaxLFQ Intensity	NCI_3795Mel_5 MaxLFQ Intensity	NCI_RA007_1 MaxLFQ Intensity	NCI_RA007_2 MaxLFQ Intensity	NCI_RA007_3 MaxLFQ Intensity	NCI_RA007_4 MaxLFQ Intensity	NCI_RA007_5 MaxLFQ Intensity	PC9_epitope_1 MaxLFQ Intensity	PC9_epitope_2 MaxLFQ Intensity	PC9_epitope_4 MaxLFQ Intensity	PC9_epitope_5 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 5-51	0.9992	0.9875	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	2748416.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A0A0G2JMI3|HV692_HUMAN, sp|A0A0J9YXX1|HV5X1_HUMAN
sp|A0A0C4DH42|HV366_HUMAN	A0A0C4DH42	HV366_HUMAN	IGHV3-66	116	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-66	0.9936	0.9912	2	2	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1445400.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH69|KV109_HUMAN	A0A0C4DH69	KV109_HUMAN	IGKV1-9	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin kappa variable 1-9	0.9755	0.9967	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6468539.5	6580058.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin kappa variable 1-6	1.0	0.999	1	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1417091.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH73|KV112_HUMAN	A0A0C4DH73	KV112_HUMAN	IGKV1-12	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin kappa variable 1-12	1.0	0.999	1	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1080923.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P01611|KVD12_HUMAN
sp|A0A1B0GUS4|UB2L5_HUMAN	A0A1B0GUS4	UB2L5_HUMAN	UBE2L5	154	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Ubiquitin-conjugating enzyme E2 L5	1.0	0.999	3	8	0	8	1	0	1	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	255871.19	0.0	213193.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	993259.25	674546.75	0.0	0.0	0.0	0.0	0.0	0.0	1258002.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	657597.9	461546.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P68036|UB2L3_HUMAN
sp|A0A2R8Y619|H2BE1_HUMAN	A0A2R8Y619	H2BE1_HUMAN	H2BE1	122	Homo sapiens OX=9606	3:Protein inferred from homology	Histone H2B type 2-E1	0.9986	0.999	7	2	0	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	1	0	2	1	0	0	1	0	5	2	3	0	1	2	2	2	1	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.990391E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1357084.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AV96|RBM47_HUMAN	A0AV96	RBM47_HUMAN	RBM47	593	Homo sapiens OX=9606	1:Experimental evidence at protein level	RNA-binding protein 47	1.0	0.9985	3	3	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5080994.0	1156236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVF1|IFT56_HUMAN	A0AVF1	IFT56_HUMAN	TTC26	554	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Intraflagellar transport protein 56	0.9897	0.9986	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0289124E7	0.0	0.0	4804758.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1.0	0.999	2	4	4	4	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.0	1822558.4	841763.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4358897.0	0.0	0.0	0.0	423202.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens OX=9606	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.9989	4	11	11	11	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	1	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	1	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	1	0	1	1	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9578163.0	0.0	0.0	5110454.0	1903926.4	0.0	4611069.5	3812298.5	6920118.0	3919829.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
