Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	rawdata/HREC_P_3.mzML	rawdata/HREC_ETIS_1.mzML	rawdata/HREC_P_1.mzML	rawdata/HREC_IRIS_2.mzML	rawdata/HREC_IRIS_1.mzML	rawdata/HREC_IRIS_3.mzML	rawdata/HREC_IRIS_4.mzML	rawdata/HREC_P_2.mzML	rawdata/HREC_ETIS_2.mzML	rawdata/HREC_ETIS_3.mzML	rawdata/HREC_ETIS_4.mzML	rawdata/HREC_P_4.mzML
A0A087X1X7;E9PJV8;E9PKH7;E9PN56;E9PN71;E9PNC8;E9PPY1;E9PQR8;E9PRL0;E9PRY8	E9PPY1;E9PRL0;E9PKH7;E9PNC8;E9PJV8;E9PN56;E9PRY8;E9PN71;E9PQR8;A0A087X1X7	A0A087X1X7_HUMAN;E9PJV8_HUMAN;E9PKH7_HUMAN;E9PN56_HUMAN;E9PN71_HUMAN;E9PNC8_HUMAN;E9PPY1_HUMAN;E9PQR8_HUMAN;E9PRL0_HUMAN;E9PRY8_HUMAN	EEF1D	Elongation factor 1-delta	51508	40128.6	53244.2	57000.1	51398.7	55482.7	52083.9	54621.5	52509.9	52489.7	51877.8	61512
A0A096LP25	Q6ZSR9;A0A096LP25	A0A096LP25_HUMAN	AAK1	AP2-associated protein kinase 1 (Fragment)	501857	648412	420762	577758	549369	540006	528725	575102	644392	620957	535826	529954
A0A0A0MQW0;A0A0C4DGV1;H0YN19	H0YN19;A0A0C4DGV1;A0A0A0MQW0	A0A0A0MQW0_HUMAN;A0A0C4DGV1_HUMAN;H0YN19_HUMAN	MYEF2	Myelin expression factor 2		67310.9	72192	96408	89315	80455.9	78703.9	131597	123366	105603	66536.2	114399
A0A0A0MR08	A0A0A0MR08	A0A0A0MR08_HUMAN	USP19	Ubiquitin carboxyl-terminal hydrolase 19 (Fragment)	55089.9	51009.7	56979.4	52587.4	58466.1	39392.9	42924.2	70489.4	63327.1	52445.4	40564.3	67218.8
A0A0A0MRM8;A0A1Y0BRN3	A0A1Y0BRN3;A0A0A0MRM8	A0A0A0MRM8_HUMAN;A0A1Y0BRN3_HUMAN	MYO6	Unconventional myosin-VI	919744	1.27673e+06	437350	1.31458e+06	1.32847e+06	1.33241e+06	1.23295e+06	900274	1.32502e+06	1.39247e+06	1.32092e+06	962135
A0A0A0MRQ5	A0A0A0MRQ5	A0A0A0MRQ5_HUMAN	PRDX1	Peroxiredoxin-1			83690.8		79467		89200.7	104800		111271		
A0A0A0MS29;E9PQX8;H7C433	A0A0A0MS29;E9PQX8;H7C433	A0A0A0MS29_HUMAN;E9PQX8_HUMAN;H7C433_HUMAN	MFF	Mitochondrial fission factor		62332.8					61815.7		79005.3	74313.6		
A0A0A0MSY0	A0A0A0MSY0	A0A0A0MSY0_HUMAN	SPAG6	Sperm-associated antigen 6 (Fragment)				37214.6	57835.5			66028.5				
A0A0A0MSY4;A0A0D9SFH5	A0A0D9SFH5;A0A0A0MSY4	A0A0A0MSY4_HUMAN;A0A0D9SFH5_HUMAN	DOCK9	Dedicator of cytokinesis protein 9		97535.6		126474	125976	119527	118500	72536	105158	99373.6	106298	53750
A0A0A0MSZ4;A0A0A0MT64;A0A0A0MTN9;A0A0A0MTR6;A0A0C4DFN8;A0A0C4DGN7;J3QKZ8;J3QQW7;J3QQX3	J3QKZ8;A0A0C4DGN7;A0A0A0MTN9;A0A0A0MTR6;J3QQX3;A0A0A0MSZ4;J3QQW7;A0A0C4DFN8;A0A0A0MT64	A0A0A0MSZ4_HUMAN;A0A0A0MT64_HUMAN;A0A0A0MTN9_HUMAN;A0A0A0MTR6_HUMAN;A0A0C4DFN8_HUMAN;A0A0C4DGN7_HUMAN;J3QKZ8_HUMAN;J3QQW7_HUMAN;J3QQX3_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	370909	1.1384e+06	409266	899168	913388	819406	835237	340224	1.28152e+06	1.26361e+06	1.25084e+06	359709
A0A0A6YYJ5	A0A0A6YYJ5	A0A0A6YYJ5_HUMAN	MACF1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (Fragment)	202700	285663	214174	331366	281990	299060	328030	258777	304666	300614	355522	226424
A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5;A0A096LPI6;H7C2G3;A0A096LNH5;H7C1F6	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial			20959.8									
A0A0B4J2F0	A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1			73571.7	150237								
A0A0D9SF54	A0A0D9SF54	A0A0D9SF54_HUMAN	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	42433.4		38114.8		92216.8		95879.1	59829.8	80990.7		61193.6	
A0A0G2JIT9;A0A0G2JJZ1;A2ABH3	A0A0G2JJZ1;A2ABH3;A0A0G2JIT9	A0A0G2JIT9_HUMAN;A0A0G2JJZ1_HUMAN;A2ABH3_HUMAN	CCHCR1	Coiled-coil alpha-helical rod protein 1 (Fragment)					23771.3	50775.6						
A0A0J9YWM6	A0A0J9YWM6	A0A0J9YWM6_HUMAN	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase (Fragment)			113777	80124.7	86513	82063.2	96444.5	27383.7	91306.1	87776.4	74416.4	103639
A0A0J9YXB8	A0A0J9YXB8	A0A0J9YXB8_HUMAN	PSAP	Prosaposin (Fragment)			83071.1	165938	142581	140755	183281		182043	169078	151897	61487.7
A0A0J9YXF2	A0A0J9YXF2	A0A0J9YXF2_HUMAN	PON2	Paraoxonase 2, isoform CRA_a	83099.1	111225	86328.9	124510	108184		106064	80051.8	106785	105797	75284.2	91144.1
A0A0U1RQK7	A0A0U1RQK7	A0A0U1RQK7_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	516714	423455	512808	358765	259208	498255	208899	363053	501532	343569	262278	395517
A0A0U1RQL9;A0A0U1RQN3;A0A0U1RQS5;A0A0U1RQV1;B3KNS4	A0A0U1RQN3;A0A0U1RQV1;A0A0U1RQL9;B3KNS4;A0A0U1RQS5	A0A0U1RQL9_HUMAN;A0A0U1RQN3_HUMAN;A0A0U1RQS5_HUMAN;A0A0U1RQV1_HUMAN;B3KNS4_HUMAN	ERVK3-1	Endogenous retrovirus group K3 member 1 (Fragment)	157188	122723	159964	93802.2	90828.6	95450	94224.4	157393	118259	118898	107553	169578
A0A140T8Z1;A2AAY8;A2AAZ0;Q5SU54;Q5Y7D3;Q5Y7D6	A0A140T8Z1;A2AAY8;Q5SU54;Q5Y7D6;A2AAZ0;Q5Y7D3	A0A140T8Z1_HUMAN;A2AAY8_HUMAN;A2AAZ0_HUMAN;Q5SU54_HUMAN;Q5Y7D3_HUMAN;Q5Y7D6_HUMAN	HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain	19995.1	18971.2				12180.9				19060.7		
A0A140T9M0;A0A140T9T1;A0A140T9U0;A0A140T9W2;A0A140TA03	A0A140T9W2;A0A140T9M0;A0A140T9U0;A0A140TA03;A0A140T9T1	A0A140T9M0_HUMAN;A0A140T9T1_HUMAN;A0A140T9U0_HUMAN;A0A140T9W2_HUMAN;A0A140TA03_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain		91251.5	89121.5	206985	210736	280332	330748	204385	236869	267913	270425	265730
A0A1B0GTL5	A0A1B0GTL5	A0A1B0GTL5_HUMAN	RAB11FIP5	Rab11 family-interacting protein 5	245221	324606	252495	187814	160633	281303	231546	240103	229434	267686	197428	229343
A0A1B0GW03	A0A1B0GW03	A0A1B0GW03_HUMAN	PLEKHA6	Pleckstrin homology domain-containing family A member 6 (Fragment)	36782.6	210522		182326	165426	166096	178250	173318	217950	167316	189818	162957
A0A1B0GWA0	A0A1B0GWA0	A0A1B0GWA0_HUMAN	ZNF654	Zinc finger protein 654			34012.7	24067.4								35916.6
A0A1B0GWE0	A0A1B0GWE0	A0A1B0GWE0_HUMAN	DOCK7	Dedicator of cytokinesis protein 7 (Fragment)	137842	134562	127513	117364	120792	147521	118876	125597	122225	127009	134621	146056
A0A1C7CYX1	A0A1C7CYX1	A0A1C7CYX1_HUMAN	MIDEAS	Mitotic deacetylase-associated SANT domain protein			29497.8	32409.1								
A0A1C7CYX9	A0A1C7CYX9	A0A1C7CYX9_HUMAN	DPYSL2	Dihydropyrimidinase-related protein 2	138897	268311	284089	470663	232249	223832	215982	144603	195408	235264	207952	162174
A0A1W2PQM2	A0A1W2PQM2	A0A1W2PQM2_HUMAN	TUBA1C	Tubulin alpha-1C chain		41465.1		86321.7	51597.4	61736.9	69317.7		55386		42010.9	
A0A2R8Y566	A0A2R8Y566	A0A2R8Y566_HUMAN	RELCH	RAB11-binding protein RELCH	17504.1		198103	489959	49486.1	24685.3					38661.3	15161
A0A2R8Y602;A0A2R8YDH5;F5H7A5	A0A2R8Y602;F5H7A5;A0A2R8YDH5	A0A2R8Y602_HUMAN;A0A2R8YDH5_HUMAN;F5H7A5_HUMAN	CLPB	Caseinolytic peptidase B protein homolog (Fragment)	803949	229325	876239	332590	294061	346950	223196	335643	253000	236589	350489	324157
A0A2R8Y635;A0A2R8YDN7	A0A2R8Y635;A0A2R8YDN7	A0A2R8Y635_HUMAN;A0A2R8YDN7_HUMAN	ATP13A3	Cation-transporting ATPase (Fragment)	218473	267738	160124	252131	256548	291948	273119	181285	269012	263435	264105	179305
A0A2R8YE82	O95749;C9J7M1;C9J6G3;A0A2R8YE82	A0A2R8YE82_HUMAN	TBCE	Tubulin-specific chaperone E	30673.6	47184.5	37562.4	45660.2	41576.3	25214.2	34300.3	31151	46629.8	40674.5	46572.6	40584.7
A0A2R8YG42;B1ALK7	A0A2R8YG42;B1ALK7	A0A2R8YG42_HUMAN;B1ALK7_HUMAN	ARHGEF7	Rho guanine nucleotide exchange factor 7		63915.2	76625.6	56399.2	66286.4	55527.7	72886.6	51397.4	73456.9	59929.1	57436.5	62824.9
A0A2U3U043	A0A2U3U043	A0A2U3U043_HUMAN	KCTD1	BTB/POZ domain-containing protein KCTD1				23059.7			36452.3		24240.3			
A0A3B3IRQ9	A0A3B3IRQ9	A0A3B3IRQ9_HUMAN	ADAR	Double-stranded RNA-specific adenosine deaminase (Fragment)	64973.9	35653.8	59800					72095.8				20956.7
A0A3B3ISP1;A0A3B3ITU5	A0A3B3ISP1;A0A3B3ITU5	A0A3B3ISP1_HUMAN;A0A3B3ITU5_HUMAN	ANKS1A	Ankyrin repeat and SAM domain-containing protein 1A	24573.9	61783.8	30979.4	56992.2	48680.4	75518	58244.6	42767.9	46190.3	63549.4	67010.9	40279.7
A0A3B3ISX8	A0A3B3ISX8	A0A3B3ISX8_HUMAN	PALLD	Palladin (Fragment)	103306				71911.6	103865		96729.2	97600.6			79932.9
A0A3B3ITH6;M0QXI3;M0R155	A0A3B3ITH6;M0R155;M0QXI3	A0A3B3ITH6_HUMAN;M0QXI3_HUMAN;M0R155_HUMAN	ZIM2	Zinc finger imprinted 2			46650.7						54650.1		66029.8	
A0A3B3IUC1	A0A3B3IUC1	A0A3B3IUC1_HUMAN	NEDD4	E3 ubiquitin-protein ligase NEDD4								28773.4				
A0A494BZY7;M0QZ67	M0QZ67;H3BQF6;A0A494BZY7	A0A494BZY7_HUMAN;M0QZ67_HUMAN	EEF1AKMT2	EEF1A lysine methyltransferase 2		48633.4		27094.2			29955	159570				
A0A494BZZ2;B7Z596;F5H7S3;H0YK48;H0YKJ4;H7BYY1	F5H7S3;H7BYY1;A0A494BZZ2;H0YK48;H0YN06;H0YKJ4;B7Z596	A0A494BZZ2_HUMAN;B7Z596_HUMAN;F5H7S3_HUMAN;H0YK48_HUMAN;H0YKJ4_HUMAN;H7BYY1_HUMAN	TPM1	Tropomyosin alpha-1 chain	95853.4	192329	86237	189013	180916	165450	112938	78850.9	153850	162296	220007	105133
A0A494C0G5	A0A494C0G5	A0A494C0G5_HUMAN	AGRN	Agrin					523019		511368			512234		
A0A494C0R8;I3L2B0	I3L2B0;A0A494C0R8	A0A494C0R8_HUMAN;I3L2B0_HUMAN	CLUH	Clustered mitochondria protein homolog	67066.1	46728.7	50269.9		54644.2	48511.6	72549.6	80169.6	52704.6	53594.9		75025.8
A0A494C120	A0A494C120	A0A494C120_HUMAN	ZMAT3	Zinc finger matrin-type protein 3	29353.9					19559.1		51948.1		21879.4		35170.5
A0A590UJ96	A0A590UJ96	A0A590UJ96_HUMAN		Uncharacterized protein	355960	327669		880895	778096	309242		402646	948271		826169	510097
A0A590UJG2;H3BPE1;H3BQK9	A0A590UJG2;H3BPE1;H3BQK9	A0A590UJG2_HUMAN;H3BPE1_HUMAN;H3BQK9_HUMAN	MACF1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5	359567	430632	373976	557304	452442	501140	531326	346953	422987	410885	477430	372690
A0A590UJL8;Q5TEC6	A0A590UJL8;Q5TEC6	A0A590UJL8_HUMAN;Q5TEC6_HUMAN	H3-2	H3.2 histone (putative) (Fragment)	5.79001e+06	4.39501e+06	5.58121e+06	5.19782e+06	3.48844e+06	3.36389e+06	4.23547e+06	5.38025e+06	3.10118e+06	3.17637e+06	3.26687e+06	6.26937e+06
A0A5E8	A0A5E8	A0A5E8_HUMAN	GAS2L1	GAS2-like protein 1										31977.7		
A0A5F9YFS9	A0A5F9YFS9	A0A5F9YFS9_HUMAN	SPCS1	Signal peptidase complex subunit 1	217059	200410	536496	188141	252763	135497	132649	183404	235874	204934	124374	159184
A0A5F9ZH79;A0A5F9ZHP1	A0A5F9ZH79;A0A5F9ZHP1	A0A5F9ZH79_HUMAN;A0A5F9ZHP1_HUMAN	ASCC1	Activating signal cointegrator 1 complex subunit 1	45668.8	62162.3	50928.1	340275	344197	373924	339406	43982.8	332577	309329	323330	351732
A0A5F9ZHS3;A0A5F9ZI68;E7EN32;E7ENS2;E7EPR4;E7ET29	E7ET29;E7EPR4;A0A5F9ZHS3;A0A5F9ZI68;E7EN32;E7ENS2	A0A5F9ZHS3_HUMAN;A0A5F9ZI68_HUMAN;E7EN32_HUMAN;E7ENS2_HUMAN;E7EPR4_HUMAN;E7ET29_HUMAN	MEN1	Menin			22655.7					42870.8				33559.3
A0A5H1ZRS1	A0A5H1ZRS1	A0A5H1ZRS1_HUMAN	PCM1	Pericentriolar material 1 protein	24590.6				9378.38			27828.8				22468.8
A0AV96	A0AV96;D6REZ6;D6RBS9;D6RBP6;D6R9D6;D6RFL5;D6R9M7;D6RA49;D6RCT1	RBM47_HUMAN	RBM47	RNA-binding protein 47	941630	1.12106e+06	775740	1.03699e+06	992848	952332	1.07135e+06	949541	1.19668e+06	1.13168e+06	1.13354e+06	941047
A0AVF1	A0AVF1;B7Z6R6;B7Z2T3	IFT56_HUMAN	TTC26	Intraflagellar transport protein 56	131103	111670	104459	123130	95263.6	100211	104493	132344	105011	89306.8	105975	140133
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.0326e+06	2.45197e+06	2.03724e+06	2.70421e+06	2.75146e+06	2.59048e+06	2.65248e+06	2.44939e+06	2.60046e+06	2.51401e+06	2.48023e+06	2.45088e+06
A0FGR8	A0FGR8;H7BXI1;A0A087WXU3;A0A499FIX8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.18974e+06	1.54404e+06	1.22772e+06	1.57499e+06	1.51192e+06	1.49415e+06	1.55801e+06	1.22558e+06	1.61123e+06	1.60158e+06	1.54536e+06	1.19798e+06
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	70019.1	69714.4	75398.8		51552.1	54388.4	47567.4	56256.1	51160.6		55713.4	60512.3
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	745722	934822	311887	850089	860250	792871	862519	730905	861048	853866	875410	685659
A1IGU5	A1IGU5	ARH37_HUMAN	ARHGEF37	Rho guanine nucleotide exchange factor 37	93848.7	162703	30390.5	139984	158585	148161	138147	89267.2	162697	158414	150780	82669.2
A1L020	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A	36528.9	18331.5	36982.9		33873.8	31376.9	29458		11087.8	44026.4		
A1L0T0	A1L0T0;M0QZX5;M0R026	ILVBL_HUMAN	ILVBL	Acetolactate synthase-like protein	145602	165744	132258	200537	242955	230428	180416	108154	211216	191923	241928	188535
A1L390	A1L390;A0A0U1RR71	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3	224184	313653	230306	281879	312090	265346	257330	233469	284846	306166	277114	261663
A1X283	A1X283;A0A1B0GUF2;G3V144	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B	134832	171720	133914	184029	194710	151236	169530	109092	168722	184118	171383	121273
A2A3N6	Q99755;A2A3N6;A6PW57	PIPSL_HUMAN	PIPSL	Putative PIP5K1A and PSMD4-like protein		98999.1		141728	109194	122250	145659	124941	69757.6	113280	153578	155286
A2AJT9	A2AJT9;H7BXX2;F2Z385	BCLA3_HUMAN	BCLAF3	BCLAF1 and THRAP3 family member 3			70010.8									
A2RRP1	A2RRP1;H0Y5G7	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	625717	627328	622021	687197	655193	640223	684765	646138	587899	651645	648357	656646
A2RTX5	A2RTX5;H0YKB9;B7ZLP8	SYTC2_HUMAN	TARSL2	Threonine--tRNA ligase 2, cytoplasmic	107500	96126.6	103135	117472	106272	99475.2	83374.7	141017	298762	116776	108470	131904
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	31025.3	35135.5	26997.6	44671.7	41427.6	48178.5	39309.3	32674.8	45844.9	38285.9	44934.5	40413.7
A2RUS2	A2RUS2;B3KRG7;H0YAY3;E9PF32	DEND3_HUMAN	DENND3	DENN domain-containing protein 3	666847	736255	456814	774975	707267	656074		576493	687392	685005	665615	607512
A2VDF0	A2VDF0;X6R6T9;X6RK00	FUCM_HUMAN	FUOM	Fucose mutarotase	425652	465804	475356	472915	530548	497857	536823	444119	439519	465385	465466	492615
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	676586	820338	634991	800214	799390	835610	844407	647629	738586	737485	754938	601646
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	167884	153871	164191	185666	144534	142599	122186	216272	132704	129528	154117	227413
A4D1E9	A4D1E9;C9J8R7;C9JNI1	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10		35127.7						16516.1				
A4D1P6	A4D1P6;C9J1X0	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	536915	771197	407592	736902	791848	752974	661087	675616	852844	941105	894152	813708
A4D1S5	A4D1S5;C9JJQ5	RAB19_HUMAN	RAB19	Ras-related protein Rab-19	234900	407732										
A4D263	A4D263	SPT48_HUMAN	SPATA48	Spermatogenesis-associated protein 48			65280.9	53658.6						55459.5		37777.4
A5D8V6	A5D8V6;F5H4Q5	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C				40261.7								
A5PLL7	A5PLL7;Q5TGE2	TM189_HUMAN	TMEM189	Transmembrane protein 189								91013.1				
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	430300	378215	180057	354934	340720	329947	378181	330559	341782	374761	441380	289052
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	1.05011e+06	926968	1.01494e+06	973228	946840	922314	908655	1.10792e+06	839207	870050	932072	1.14624e+06
A5YM69	A5YM69;A0A5F9ZH52	ARG35_HUMAN	ARHGEF35	Rho guanine nucleotide exchange factor 35	49120.4	42766.9	62835.6	51351.2	46217.4	44704.9	35028	60573.3	37205.1	35950.5	31619.4	
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9H492;Q9GZQ8;H3BTL1	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2				23574								
A6ND36	A6ND36;K7EKG0	FA83G_HUMAN	FAM83G	Protein FAM83G	201592	181404		192365	185859	164563	205376	194861	172885	171250	182955	204016
A6NDG6	A6NDG6;H3BV17	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase				358978	280872	327327	279046		275896	253729	280132	300426
A6NDI0	A6NDI0	TR49B_HUMAN	TRIM49B	Putative tripartite motif-containing protein 49B					28789.1		23835.3					
A6NDU8	A6NDU8;A0A0C4DGW6	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	47491.7	52769.9	55534.2	70887.2	65593.4	69828.3	54862.7	80931.9	68302.9	48002.8	60545.2	77636.2
A6NED2	A6NED2;G3V2I3	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	118335		56075.8	54246	18004.5			78300.8			15835.5	
A6NEM2	A6NEM2	A6NEM2_HUMAN	HCFC1	Host cell factor 1	94595.5	86928.1	29139.6	79199.1	77371.6	84139.6	77106.5	85350.4	74363.1	78493.5	87559.6	80625.8
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316			133265	130910								
A6NFQ2	A6NFQ2;Q8N1I1;A0A1B0GVM2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2	116279	115584	64516.6	64830.3	92850.7	72597.6	70173.2	83685.2	89447.9	98525.9	109055	
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1.02266e+06	942880	947845	1.24775e+06	1.12611e+06	1.24634e+06	1.17749e+06	1.06051e+06	1.25571e+06	1.08554e+06	1.13756e+06	1.07873e+06
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1		63577.5		58680.2	64629.1	71871.7			55115.5	46539.6	65866.9	
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	106130	87909.7	138628	152461	132839	150193	135631	97273.2	118739	124880	127731	210255
A6NI28	A6NI28;H0YEJ7;E9PJK4	RHG42_HUMAN	ARHGAP42	Rho GTPase-activating protein 42				84328.3	74655.8	79648.4	84671.4		79217.1		64923	
A6NI56	A6NI56;B7ZBA8;A0A590PWR5	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154						41289.9						
A6NIH7	A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	17548.7	30799.2		26992.2	34700.9	39593.1	29147.5	14678.4	30620.3	32776.1	29490.9	
A6NIX2	A6NIX2	WTIP_HUMAN	WTIP	Wilms tumor protein 1-interacting protein			25467.6		25446.6	18904.8		32803				26395.6
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	Probable methyltransferase-like protein 15	241736	209398	163965	203674	189163	209183	262799	206007	162560	172069	189343	191379
A6NKD9	A6NKD9;G3V5D5;G3V2D7;H0YJE0	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	18430.8	31699.2	59436.5	47009.4	31858.1	29919.3	33506	37335.8	38335.3	32956.7	52815.2	36514.4
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11	37897.2			50501.8			28376.7	65490.4	40556	35361.9	52706.5	52424.7
A6ZKI3;Q17RB0	A6ZKI3;Q17RB0	RTL8B_HUMAN;RTL8C_HUMAN	RTL8B;RTL8C	Retrotransposon Gag-like protein 8C	26205.5	48662.3	20148.8	35745.2	35581.6	44443.1	36917.8	29325.8	24776.5	27440.5	27559.8	19651.9
A7E2V4	A7E2V4;S4R410;S4R3H3;S4R3B3;H7C453;S4R393	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	137171	116387	129661	113067	134568	114195	117765	143932	119043	144256	119576	129051
A7KAX9	A7KAX9;G3V174	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	40210.4	24244			16455.3		20599.9	35836.5		21267.3	24700.4	27667.8
A7XZE4	A7XZE4	A7XZE4_HUMAN	TPM2	Beta tropomyosin isoform	86625.6	67269.6	102688		42720.4	42326	56440.4	95957.9	70398.8	37101.5	63537.3	103734
A8CG34	Q6PJE2;A8CG34;Q96HA1;C9JER0;A0A0J9YWR1;C9J370	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	17085.5	44500.1	22357.5		42607	30310.5	28649.7	27882.2		40152.6	39979.8	31130.7
